iter	RMSE
0	1.219279079
1	1.088368417
2	0.9826207536
3	0.8978709514
4	0.8298880419
5	0.7764628956
6	0.7356630045
7	0.7039817118
8	0.6799437773
9	0.6616227068
10	0.6476307033
11	0.6368329162
12	0.6287073015
13	0.6228612791
14	0.6183329087
15	0.6148938674
16	0.6120875764
17	0.6100816187
18	0.6085437274
19	0.6070811654
20	0.60592924
21	0.6050634112
22	0.6044420272
23	0.6037940685
24	0.6032868877
25	0.6027237935
26	0.6023491973
27	0.6018835296
28	0.6014921493
29	0.6012154929
30	0.6008869243
31	0.6006760069
32	0.6005050908
33	0.6003078841
34	0.5999274738
35	0.5997072076
36	0.5995385212
37	0.5992944742
38	0.5991381212
39	0.5989931725
40	0.5988358452
41	0.5986051568
42	0.5983952613
43	0.5981595227
44	0.5980658924
45	0.5979629241
46	0.597856771
47	0.5977361734
48	0.5976545511
49	0.5975131408
50	0.59725965
51	0.5971594869
52	0.597021332
53	0.5968331789
54	0.5967519732
55	0.5964283983
56	0.5963124113
57	0.5962099246
58	0.5961341416
59	0.5960342136
60	0.5959393915
61	0.5957836672
62	0.5957138113
63	0.5955948733
64	0.5954197964
65	0.5953499336
66	0.5952447054
67	0.5951371693
68	0.5950068019
69	0.5949002354
70	0.594836375
71	0.5947663732
72	0.5947079903
73	0.594551067
74	0.5944333192
75	0.5943425265
76	0.5942828948
77	0.594148818
78	0.5940869629
79	0.5939741866
80	0.5938969115
81	0.5938335192
82	0.5937376742
83	0.5936662751
84	0.5935817149
85	0.5935172869
86	0.593403002
87	0.593333352
88	0.5932582531
89	0.5931418839
90	0.5930335359
91	0.5929550273
92	0.5927988241
93	0.5926835242
94	0.592588026
95	0.5925267154
96	0.5923718139
97	0.5922996318
98	0.5922257445
99	0.5921425288
100	0.5920443419
101	0.591997426
102	0.5918503382
103	0.5917887223
104	0.5916932123
105	0.5916186611
106	0.5914967334
107	0.5914657293
108	0.591378787
109	0.5912521636
110	0.5912037799
111	0.5911330418
112	0.5910307042
113	0.5909782514
114	0.5908879636
115	0.5908154834
116	0.5907582054
117	0.5907159777
118	0.5906539347
119	0.5905709037
120	0.590514034
121	0.5904422395
122	0.5903635955
123	0.5903210134
124	0.590264253
125	0.5901875335
126	0.5900833875
127	0.5899805306
128	0.58993767
129	0.5898752086
130	0.5898310971
131	0.5897335111
132	0.5896799157
133	0.589620946
134	0.5895848367
135	0.5895515876
136	0.5894311601
137	0.5893502713
138	0.5892810103
139	0.5892257478
140	0.5891550265
141	0.58907214
142	0.5890120105
143	0.5889455206
144	0.5889087416
145	0.5888240206
146	0.5887469716
147	0.5886654425
148	0.5886343907
149	0.5885944901
150	0.5885065448
151	0.5884537279
152	0.5883841259
153	0.5883105096
154	0.5882490569
155	0.5881520377
156	0.588042378
157	0.5879858914
158	0.5878985026
159	0.587781456
160	0.5877022339
161	0.587641926
162	0.5875845863
163	0.58751527
164	0.5874655709
165	0.5873821942
166	0.5873093661
167	0.5872228838
168	0.5871624578
169	0.5871012289
170	0.5870334487
171	0.586915581
172	0.5868663528
173	0.5868229275
174	0.5867735561
175	0.5867106953
176	0.5866337001
177	0.5865533179
178	0.5864676203
179	0.5864248954
180	0.5863273927
181	0.5862785491
182	0.5862054184
183	0.5861615956
184	0.5861124592
185	0.586062787
186	0.5860054458
187	0.5859764729
188	0.5859175016
189	0.5858727799
190	0.5858106556
191	0.5857462592
192	0.5856980393
193	0.585626563
194	0.5855626492
195	0.585523261
196	0.5854721326
197	0.5854048839
198	0.5853208443
199	0.5852924036
200	0.5852360279
201	0.5851502865
202	0.5851028092
203	0.5850365754
204	0.5849893332
205	0.5849293564
206	0.5848799539
207	0.5848319363
208	0.5847678222
209	0.5847297294
210	0.5846795707
211	0.5846452324
212	0.5845756403
213	0.5845403628
214	0.5844921919
215	0.5844069134
216	0.5843538209
217	0.5843108366
218	0.584249004
219	0.584148197
220	0.58411123
221	0.5840601982
222	0.5840223725
223	0.584000003
224	0.5839369738
225	0.5838929679
226	0.5838596858
227	0.5838069382
228	0.5837765839
229	0.583747946
230	0.5837311937
231	0.5836982285
232	0.5836716541
233	0.5836387089
234	0.5836067223
235	0.5835552455
236	0.583522372
237	0.5834792631
238	0.5834551196
239	0.583425556
240	0.5833602933
241	0.5833208661
242	0.583288578
243	0.5832589019
244	0.5832062262
245	0.5831609775
246	0.5830961579
247	0.5830484361
248	0.5830030773
249	0.5829107951
250	0.5828688993
251	0.5827756751
252	0.5827231591
253	0.5826913636
254	0.5826489844
255	0.58255632
