iter	MAE
0	2151.484356
1	2086.485091
2	2021.486268
3	1956.487445
4	1891.488181
5	1826.488916
6	1761.490093
7	1696.490829
8	1631.492005
9	1566.492741
10	1501.664354
11	1437.985267
12	1375.918241
13	1315.692093
14	1257.486743
15	1201.468327
16	1147.775209
17	1096.577419
18	1047.925781
19	1001.81921
20	958.2827496
21	917.3446738
22	878.9889492
23	843.0500879
